,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
20,83.16,41,70185.06,194.95,Decentralized 24hour approach,Robinsonland,0,Finland,2016-01-04 04:00:35,0
21,73.88,29,63109.74,233.61,Digitized zero-defect implementation,Kennethview,0,Saint Helena,2016-01-04 06:37:15,0
22,66.89,23,64433.99,208.24,Universal incremental array,Sandersland,1,Honduras,2016-01-04 07:28:43,0
23,84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,0,Guatemala,2016-01-04 21:48:38,1
24,83.91,29,53223.58,222.87,Distributed bifurcated challenge,Haleberg,0,Burundi,2016-01-04 22:27:25,0
25,46.37,52,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,0,French Guiana,2016-01-05 00:02:53,1
26,49.81,35,57009.76,120.06,Seamless real-time array,Ramirezhaven,1,Faroe Islands,2016-01-05 04:18:46,1
27,76.44,26,58820.16,224.2,Distributed intangible database,Troyville,1,Madagascar,2016-01-05 06:34:20,0
28,77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,2016-01-05 07:52:48,0
29,61.22,45,63883.81,119.03,Streamlined logistical secured line,South Adam,1,Switzerland,2016-01-05 09:42:22,1
30,71.23,52,41521.28,122.59,Self-enabling zero administration neural-net,Ericksonmouth,0,Sweden,2016-01-05 11:53:17,1
31,65.56,25,69646.35,181.25,Stand-alone explicit orchestration,West Arielstad,1,Somalia,2016-01-05 12:59:07,0
32,45.11,58,39799.73,195.69,Sharable reciprocal project,Browntown,0,Netherlands,2016-01-05 16:26:44,1
33,79.54,44,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,1,Cambodia,2016-01-05 16:34:31,0
34,56.64,38,61652.53,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,0,Montserrat,2016-01-05 17:56:52,1
35,78.29,38,57844.96,252.07,Networked regional Local Area Network,Villanuevaton,0,Liberia,2016-01-05 20:58:42,0
36,81.03,28,63727.5,201.15,Persevering tertiary capability,Masonhaven,0,Venezuela,2016-01-06 13:20:01,0
37,84.31,29,47139.21,225.87,Object-based optimal solution,West Dannyberg,0,Djibouti,2016-01-06 21:43:22,0
38,81.22,53,34309.24,223.09,Networked coherent interface,Port Jason,1,San Marino,2016-01-07 13:25:21,0
39,51.56,46,63102.19,124.85,Business-focused client-driven forecast,Helenborough,0,Australia,2016-01-07 13:58:51,1
40,41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,1,Cuba,2016-01-07 19:16:05,1
41,68.11,38,73884.48,231.21,Reactive national success,South Meredithmouth,0,Seychelles,2016-01-07 21:21:50,0
42,66.08,61,58966.22,184.23,Synchronized multi-tasking ability,Klineside,1,Cuba,2016-01-07 23:02:43,1
43,63.89,40,51317.33,105.22,Synchronized user-facing core,Jensenborough,0,Rwanda,2016-01-08 00:17:27,1
44,80.51,28,64008.55,200.28,Robust dedicated system engine,Christopherville,1,Bangladesh,2016-01-08 02:34:06,0
45,78.76,24,46422.76,219.98,Reactive interactive protocol,Joanntown,1,Austria,2016-01-08 08:08:47,0
46,44.33,37,52723.34,123.72,Visionary maximized process improvement,Hamiltonfort,1,Trinidad and Tobago,2016-01-08 09:32:26,1
47,53.63,54,50333.72,126.29,Front-line zero-defect array,Vanessaview,1,Liberia,2016-01-08 18:13:43,1
48,79.97,26,61747.98,185.45,Down-sized explicit budgetary management,Port Maria,1,Nepal,2016-01-08 19:38:45,0
49,39.94,41,64927.19,156.3,Function-based optimizing protocol,Williamsborough,0,Lithuania,2016-01-08 22:47:10,1
50,57.05,41,50278.89,269.96,Seamless full-range website,Port Erinberg,1,Sierra Leone,2016-01-09 03:45:19,1
51,56.7,48,62784.85,123.13,Progressive non-volatile neural-net,Port Crystal,0,France,2016-01-09 04:53:22,1
52,46.13,46,37838.72,123.64,Horizontal hybrid challenge,New Rachel,1,Guyana,2016-01-09 05:44:56,1
53,87.3,35,58337.18,216.87,Triple-buffered regional toolset,North Loriburgh,0,Estonia,2016-01-09 07:28:16,0
54,82.7,35,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,0,Somalia,2016-01-09 15:49:28,0
55,48.86,54,53188.69,134.46,Proactive encompassing paradigm,Perryburgh,0,French Guiana,2016-01-09 17:33:03,1
56,74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,2016-01-10 02:31:19,0
57,79.18,31,58443.99,236.96,Open-source holistic productivity,Lake Danielle,0,Algeria,2016-01-10 20:18:21,0
58,66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,0,Svalbard & Jan Mayen Islands,2016-01-10 23:14:30,1
59,78.35,46,53185.34,253.48,Pre-emptive client-server open system,Parkerhaven,0,Brazil,2016-01-11 02:07:14,0
60,72.45,29,72325.91,195.36,Centralized 24hour synergy,Robertmouth,1,Svalbard & Jan Mayen Islands,2016-01-11 06:02:27,0
61,43.6,38,20856.54,170.49,Virtual bandwidth-monitored initiative,North Ricardotown,0,Chile,2016-01-11 07:36:22,1
62,63.99,43,72802.42,138.46,Ameliorated bandwidth-monitored contingency,North Cassie,0,Haiti,2016-01-11 08:18:12,1
63,71.27,21,50147.72,216.03,Quality-focused bi-directional throughput,South Blakestad,1,Senegal,2016-01-11 12:46:31,0
64,67.91,23,55002.05,146.8,Re-engineered non-volatile neural-net,Hubbardmouth,1,Latvia,2016-01-12 03:28:31,1
65,43.49,47,50335.46,127.83,User-centric intangible task-force,Guzmanland,0,Belize,2016-01-12 10:07:29,1
66,69.86,25,50506.44,241.36,Triple-buffered foreground encryption,Austinborough,0,New Zealand,2016-01-12 21:17:15,0
67,59.22,55,39131.53,126.39,Polarized 5thgeneration matrix,North Andrew,1,Honduras,2016-01-13 02:39:00,1
68,84.08,30,62336.39,187.36,Face-to-face intermediate approach,Carterburgh,1,Fiji,2016-01-13 02:58:27,0
69,35.55,39,51593.46,151.18,Robust object-oriented Graphic Interface,Westshire,0,Micronesia,2016-01-13 20:38:35,1
70,75.7,29,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,0,United States Minor Outlying Islands,2016-01-14 00:23:10,0
71,59.96,33,77143.61,197.66,Expanded modular application,Staceyfort,0,Samoa,2016-01-14 08:27:04,1
72,44.33,41,43386.07,120.63,Ergonomic empowering frame,Estradashire,0,Guyana,2016-01-14 09:27:59,1
73,55.6,23,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,0,Senegal,2016-01-14 14:00:09,1
74,74.84,37,64775.1,246.44,User-friendly impactful time-frame,Knappburgh,1,Mongolia,2016-01-14 16:30:38,0
75,39.36,29,52462.04,161.79,Mandatory disintermediate info-mediaries,Jeremybury,1,Bahamas,2016-01-14 20:58:10,1
76,81.37,33,66412.04,215.04,Enhanced regional conglomeration,New Jessicaport,0,Vietnam,2016-01-15 01:20:05,0
77,44.46,42,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,1,Mongolia,2016-01-15 19:40:47,1
78,42.51,30,54755.71,144.77,Grass-roots transitional flexibility,Lake Rhondaburgh,1,Palestinian Territory,2016-01-15 19:45:33,1
79,50.6,48,65956.71,135.67,Customer-focused fault-tolerant implementation,Port Michaelmouth,0,Brazil,2016-01-15 22:49:45,1
80,73.41,31,73049.3,201.26,Profound executive flexibility,Hollyfurt,1,Guam,2016-01-16 08:01:40,0
81,75.74,25,61005.87,215.25,Ergonomic multi-state structure,New Sheila,1,Tunisia,2016-01-16 11:35:01,0
82,78.68,29,66225.72,208.05,Inverse high-level capability,Leonchester,0,Israel,2016-01-16 16:40:30,0
83,78.64,31,60283.47,235.28,Integrated client-server definition,South Renee,1,Nicaragua,2016-01-16 17:56:05,0
84,66.63,60,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,0,Madagascar,2016-01-16 23:37:51,1
85,80.96,39,67866.95,225.0,Integrated leadingedge frame,New Travis,1,Wallis and Futuna,2016-01-17 04:12:30,0
86,82.72,31,65704.79,179.82,Cross-group global orchestration,North Monicaville,0,Belarus,2016-01-17 05:07:11,0
87,33.33,45,53350.11,193.58,Pre-emptive value-added workforce,East Samanthashire,1,Guinea-Bissau,2016-01-17 09:31:36,1
88,78.51,25,59106.12,205.71,Focused web-enabled Graphical User Interface,Riggsstad,1,Greece,2016-01-17 13:27:13,0
89,75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,0,Nauru,2016-01-17 15:10:31,0
90,88.85,40,58363.12,213.96,Cloned optimal leverage,Cannonbury,0,Bulgaria,2016-01-17 18:45:55,0
91,40.19,37,55358.88,136.99,Right-sized system-worthy project,Adamsbury,0,France,2016-01-18 02:51:13,1
92,57.64,36,37212.54,110.25,Robust web-enabled attitude,North Maryland,1,Chile,2016-01-18 15:18:01,1
93,73.19,25,64267.88,203.74,Cloned incremental matrices,North Ronaldshire,1,Pakistan,2016-01-19 12:18:13,0
94,66.17,33,69869.66,238.45,Cross-group neutral synergy,West Lucas,0,Panama,2016-01-20 00:26:15,0
95,74.18,28,69874.18,203.87,Front-line even-keeled website,Lake Lisa,0,Cayman Islands,2016-01-20 02:31:36,0
96,79.15,26,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,0,Greenland,2016-01-20 19:09:37,0
97,75.8,36,71222.4,224.9,Multi-layered fresh-thinking neural-net,East Michaelland,0,Belize,2016-01-21 04:30:43,0
98,77.14,24,60283.98,184.88,Horizontal heuristic synergy,Janiceview,1,Iceland,2016-01-21 18:51:01,0
99,67.85,41,78520.99,202.7,Reactive tangible contingency,East Ronald,1,Saint Helena,2016-01-21 22:51:34,1
100,48.46,49,61230.03,132.38,Devolved human-resource circuit,Lisamouth,1,Indonesia,2016-01-21 23:33:22,1
101,77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,0,United Arab Emirates,2016-01-21 23:48:29,0
102,70.09,21,54725.87,211.17,Automated full-range Internet solution,East Benjaminville,0,Belarus,2016-01-22 12:58:14,0
103,44.15,28,48867.67,141.96,Proactive secondary monitoring,Salazarbury,1,Martinique,2016-01-22 15:03:25,1
104,56.16,25,66429.84,164.25,Seamless motivating approach,Millerbury,1,Cote d'Ivoire,2016-01-22 19:43:53,1
105,76.07,36,68033.54,235.56,Implemented bottom-line implementation,West Michaelshire,0,Denmark,2016-01-23 01:42:28,0
106,78.37,24,55015.08,207.27,Quality-focused zero-defect budgetary management,Pearsonfort,0,Pakistan,2016-01-23 04:47:37,0
107,56.57,26,56435.6,131.98,Multi-channeled non-volatile website,West Ericaport,0,Senegal,2016-01-23 13:14:18,1
108,50.52,31,72270.88,171.62,Function-based stable alliance,Lake Allenville,0,New Caledonia,2016-01-23 15:02:13,1
109,39.25,39,62378.05,152.36,Customer-focused incremental system engine,Michellefort,0,Mayotte,2016-01-23 17:39:06,1
110,62.14,41,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,1,Angola,2016-01-23 18:59:21,1
111,39.19,54,52581.16,173.05,Stand-alone empowering benchmark,Leahside,0,Guatemala,2016-01-23 21:15:57,1
112,73.94,26,55411.06,236.15,Front-line non-volatile implementation,Lukeport,1,Isle of Man,2016-01-24 01:53:14,0
113,67.39,44,51257.26,107.19,Realigned intermediate application,Josephberg,0,Armenia,2016-01-24 13:41:38,1
114,43.77,52,49030.03,138.55,Synergized hybrid time-frame,Kyleborough,1,Portugal,2016-01-25 07:39:41,1
115,73.1,28,57014.84,242.37,Universal asymmetric archive,Jeffreyshire,0,Israel,2016-01-25 07:52:53,0
116,87.35,35,58114.3,158.29,Cloned dedicated analyzer,Carsonshire,1,Gibraltar,2016-01-26 02:47:17,0
117,37.47,44,45716.48,141.89,Realigned content-based leverage,Port Lawrence,1,Czech Republic,2016-01-26 03:56:18,1
118,89.0,37,52079.18,222.26,Devolved regional moderator,Jordanmouth,1,Cyprus,2016-01-26 15:56:55,0
119,76.02,22,46179.97,209.82,Business-focused value-added definition,West Guybury,0,Bouvet Island (Bouvetoya),2016-01-27 12:38:16,0
120,45.17,48,34418.09,132.07,Down-sized background groupware,Taylormouth,1,Palau,2016-01-27 14:41:10,1
121,72.82,34,75769.82,191.82,User-centric discrete success,Jonesmouth,1,Czech Republic,2016-01-27 16:06:05,0
122,85.37,36,66262.59,194.56,Front-line system-worthy flexibility,Alexandrafort,1,Netherlands Antilles,2016-01-27 17:08:19,0
123,81.58,41,55479.62,248.16,Cloned explicit middleware,East Sheriville,0,Moldova,2016-01-27 17:55:44,0
124,44.73,35,55316.97,127.56,Object-based neutral policy,North Lauraland,1,Guam,2016-01-27 18:25:42,1
125,84.29,41,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,0,Niue,2016-01-27 20:47:57,0
126,58.6,50,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,0,Samoa,2016-01-28 07:10:29,1
127,36.87,36,29398.61,195.91,Self-enabling incremental collaboration,New Rebecca,0,Anguilla,2016-01-28 11:50:40,1
128,39.5,31,49911.25,148.19,Operative multi-tasking Graphic Interface,West Brad,1,Micronesia,2016-01-28 16:42:36,1
129,52.13,50,40926.93,118.27,Open-source even-keeled database,West Raymondmouth,1,Ethiopia,2016-01-28 17:03:54,1
130,88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,0,Myanmar,2016-01-28 20:59:32,0
131,49.13,32,41097.17,120.49,Optimized intermediate help-desk,Morganport,0,Fiji,2016-01-29 00:45:19,1
132,41.28,50,50960.08,140.39,Universal 24/7 implementation,East Rachelview,0,Equatorial Guinea,2016-01-29 03:54:19,1
133,43.83,45,35684.82,129.01,Total human-resource flexibility,Greerport,0,Saudi Arabia,2016-01-29 05:39:16,1
134,73.15,25,64631.22,211.12,Face-to-face executive encryption,Lake Patrick,1,Libyan Arab Jamahiriya,2016-01-29 07:14:04,0
135,73.27,32,67113.46,234.75,Streamlined analyzing initiative,Haleview,1,Martinique,2016-01-29 20:16:54,0
136,88.82,36,58638.75,169.1,Assimilated discrete strategy,East Johnport,0,Slovakia (Slovak Republic),2016-01-30 00:05:37,0
137,73.3,36,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,1,Hungary,2016-01-30 04:38:41,1
138,43.97,36,68863.95,156.97,User-friendly grid-enabled analyzer,Boyerberg,1,Indonesia,2016-01-30 09:54:03,1
139,78.11,27,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,1,Moldova,2016-01-30 16:10:04,0
140,74.49,28,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,0,Peru,2016-01-30 16:15:29,0
141,55.39,37,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,2016-01-30 19:20:41,1
142,80.91,32,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,0,Cuba,2016-01-31 04:10:20,0
143,87.18,31,58287.86,193.6,Right-sized logistical middleware,West Andrew,0,Madagascar,2016-01-31 05:12:44,0
144,78.19,30,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,0,Libyan Arab Jamahiriya,2016-01-31 06:14:10,0
145,52.7,41,41059.64,109.34,Team-oriented high-level orchestration,New Matthew,1,Zambia,2016-01-31 08:50:38,1
146,74.27,37,65180.97,247.05,Monitored executive architecture,Andrewmouth,1,Burkina Faso,2016-01-31 09:57:34,0
147,82.79,34,47997.75,132.08,Team-oriented zero-defect initiative,South Aaron,0,American Samoa,2016-02-01 00:52:29,1
148,46.13,31,60248.97,139.01,Customer-focused optimizing moderator,Davidmouth,0,Bouvet Island (Bouvetoya),2016-02-01 09:00:55,1
149,40.17,26,47391.95,171.31,Visionary asymmetric encryption,South Lauratown,1,Japan,2016-02-01 14:37:34,1
150,51.63,51,42415.72,120.37,Expanded intangible solution,South Jessica,1,Mongolia,2016-02-01 17:24:57,1
151,67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,1,Mayotte,2016-02-01 19:42:40,0
152,52.62,50,73863.25,176.52,Enterprise-wide foreground emulation,Port Juan,0,Seychelles,2016-02-01 20:30:35,1
153,89.8,36,57330.43,198.24,User-centric attitude-oriented adapter,West Tanner,0,Lesotho,2016-02-02 04:57:50,0
154,59.21,35,73347.67,144.62,Managed disintermediate matrices,Lake Beckyburgh,1,Liechtenstein,2016-02-02 08:55:26,1
155,83.97,40,66291.67,158.42,Progressive asynchronous adapter,West Lisa,1,Croatia,2016-02-02 11:49:18,0
156,36.62,32,51119.93,162.44,Customer-focused solution-oriented software,New Sabrina,1,Poland,2016-02-02 19:59:17,1
157,41.89,38,68519.96,163.38,Compatible systemic function,Hartmanchester,0,Cyprus,2016-02-03 04:21:14,1
158,37.05,39,49742.83,142.81,Automated object-oriented firmware,Tracyhaven,1,Antigua and Barbuda,2016-02-03 05:47:09,1
159,56.14,38,32689.04,113.53,Devolved tangible approach,Lake Edward,1,Ireland,2016-02-03 07:59:16,1
160,82.12,52,28679.93,201.15,Fully-configurable client-driven customer loyalty,East Dana,1,Germany,2016-02-03 10:40:27,1
161,89.66,34,52802.58,171.23,Advanced didactic conglomeration,Nicholasport,1,Armenia,2016-02-03 15:15:42,0
162,42.04,49,67323.0,182.11,Organic logistical adapter,New Christinatown,0,Qatar,2016-02-03 16:54:33,1
163,56.3,49,67430.96,135.24,Fully-configurable high-level implementation,South Meghan,1,New Caledonia,2016-02-03 19:12:51,1
164,56.56,26,68783.45,204.47,Compatible composite project,Port Jasmine,1,Grenada,2016-02-03 22:11:13,0
165,71.89,23,61617.98,172.81,Function-based transitional complexity,Patriciahaven,1,Kuwait,2016-02-03 23:47:56,0
166,80.46,27,61625.87,207.96,Digitized zero administration paradigm,Port Chasemouth,1,Costa Rica,2016-02-04 02:13:52,0
167,54.55,44,41547.62,109.04,Re-engineered optimal policy,West Gabriellamouth,0,Canada,2016-02-04 03:10:17,1
168,46.88,54,43444.86,136.64,Virtual scalable secured line,Port Melissaberg,0,Singapore,2016-02-04 08:53:37,1
169,77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,0,Papua New Guinea,2016-02-04 13:30:32,0
170,43.41,28,59144.02,160.73,Customer-focused zero-defect process improvement,Lovemouth,0,Egypt,2016-02-05 15:26:37,1
171,68.1,40,74903.41,227.73,Reactive composite project,Thomasstad,1,Honduras,2016-02-05 16:50:58,0
172,83.86,31,64122.36,190.25,Up-sized executive moderator,Lake Josetown,0,Gibraltar,2016-02-05 19:06:01,0
173,61.82,59,57877.15,151.93,Open-architected needs-based customer loyalty,Olsonside,1,Barbados,2016-02-06 17:48:28,1
174,83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,1,Saint Helena,2016-02-06 23:08:57,0
175,75.84,21,48537.18,186.98,Reactive bi-directional workforce,Hayesmouth,0,Cyprus,2016-02-07 07:41:06,0
176,56.04,49,65120.86,128.95,Decentralized real-time circuit,West Ricardo,1,Netherlands,2016-02-07 08:02:31,1
177,58.21,37,47575.44,105.94,Open-source global strategy,Pattymouth,0,Djibouti,2016-02-07 17:06:35,1
178,81.38,31,64929.61,212.3,Balanced dynamic application,Bowenview,0,Saint Helena,2016-02-08 00:23:38,0
179,72.55,22,58953.01,202.34,Balanced empowering success,New Cynthia,0,Bosnia and Herzegovina,2016-02-08 07:33:22,0
180,48.53,28,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,1,Tuvalu,2016-02-08 10:46:14,1
181,39.76,28,35350.55,196.83,Integrated maximized service-desk,Pottermouth,1,Liberia,2016-02-08 14:02:22,1
182,59.01,30,75265.96,178.75,Focused multimedia implementation,West Annefort,1,Philippines,2016-02-08 22:45:26,1
183,65.82,39,76435.3,221.94,Reactive demand-driven capacity,Kellytown,0,Ukraine,2016-02-09 05:28:18,0
184,49.84,39,45800.48,111.59,Reduced multimedia project,Hannaport,0,Samoa,2016-02-09 07:21:25,1
185,68.88,37,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,0,Belgium,2016-02-09 19:37:52,0
186,68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,1,Czech Republic,2016-02-09 22:04:54,0
187,76.64,39,66217.31,241.5,Reverse-engineered web-enabled support,North Daniel,1,Poland,2016-02-09 23:38:30,0
188,58.18,25,69112.84,176.28,Polarized analyzing concept,Tinachester,1,New Zealand,2016-02-10 06:37:56,0
189,72.04,22,60309.58,199.43,Realigned systematic function,Hernandezfort,0,Rwanda,2016-02-10 06:52:07,0
190,86.76,28,48679.54,189.91,Object-based leadingedge complexity,Lawrenceborough,0,Syrian Arab Republic,2016-02-10 08:21:13,0
191,73.94,27,68333.01,173.49,Function-based incremental standardization,North Alexandra,0,Myanmar,2016-02-10 13:46:35,0
192,42.44,56,43450.11,168.27,Profit-focused attitude-oriented task-force,Petersonfurt,0,Tajikistan,2016-02-10 15:23:17,1
193,78.7,30,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,0,Turkey,2016-02-10 19:20:51,1
194,45.82,27,64410.8,171.24,Expanded full-range synergy,Adamside,1,Eritrea,2016-02-10 20:43:38,1
195,58.22,29,37345.24,120.9,User-friendly client-server instruction set,North Russellborough,0,South Africa,2016-02-11 02:40:02,1
196,69.0,32,72683.35,221.21,Virtual composite model,Port Susan,1,Trinidad and Tobago,2016-02-11 04:37:34,0
197,87.16,33,60805.93,197.15,Reduced holistic help-desk,Blairville,0,China,2016-02-11 11:50:26,0
198,80.47,25,57519.64,204.86,Reduced global support,Jamesberg,0,Niger,2016-02-11 13:26:22,0
199,55.74,37,26130.93,124.34,Networked asymmetric infrastructure,Lake Michelle,1,Hong Kong,2016-02-11 16:45:41,1
200,50.78,51,49957.0,122.04,Vision-oriented asynchronous Internet solution,West David,0,Liberia,2016-02-11 17:02:07,1
201,43.07,36,60583.02,137.63,Monitored zero administration collaboration,East Ericport,1,Turkey,2016-02-11 20:45:46,1
202,72.97,30,71384.57,208.58,Fundamental modular algorithm,Duffystad,1,Lebanon,2016-02-11 21:49:00,1
203,64.2,27,66200.96,227.63,Phased zero tolerance extranet,Edwardsmouth,1,Isle of Man,2016-02-11 23:45:01,0
204,78.96,50,69868.48,193.15,Stand-alone well-modulated product,East Jason,0,Cayman Islands,2016-02-12 01:55:38,1
205,32.6,38,40159.2,190.05,Customizable homogeneous contingency,Tylerport,0,Syrian Arab Republic,2016-02-12 03:39:09,1
206,67.56,47,50628.31,109.98,Reduced background data-warehouse,Zacharyton,0,Paraguay,2016-02-12 05:20:19,1
207,57.99,50,62466.1,124.58,Innovative homogeneous alliance,New Angelview,0,Costa Rica,2016-02-12 08:46:15,1
208,58.05,32,15879.1,195.54,Total asynchronous architecture,Sanderstown,1,Tajikistan,2016-02-12 10:39:10,1
209,77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,1,Philippines,2016-02-12 20:36:40,0
210,65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,0,Palau,2016-02-12 22:51:08,0
211,69.42,25,65791.17,213.38,Quality-focused hybrid frame,Carterport,0,Lao People's Democratic Republic,2016-02-13 04:16:08,0
212,54.7,36,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2016-02-13 07:53:55,1
213,65.72,36,28275.48,120.12,Managed didactic flexibility,Kimberlymouth,0,Saint Pierre and Miquelon,2016-02-13 13:57:53,1
214,69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,1,Argentina,2016-02-13 15:37:36,0
215,80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,1,Tanzania,2016-02-14 03:50:52,0
216,42.32,29,63891.29,187.09,Digitized radical architecture,New Joshuaport,1,South Georgia and the South Sandwich Islands,2016-02-14 04:14:13,1
217,44.64,36,55787.58,127.01,Up-sized incremental encryption,Codyburgh,0,Belize,2016-02-14 06:51:43,1
218,61.72,26,67279.06,218.49,Grass-roots systematic hardware,Port Daniel,0,Venezuela,2016-02-14 07:15:37,0
219,60.94,41,76893.84,154.97,Fundamental fault-tolerant neural-net,Garciaview,0,Latvia,2016-02-14 07:30:24,1
220,62.31,47,62722.57,119.3,Team-oriented encompassing portal,Amandahaven,0,Turkey,2016-02-14 07:36:58,1
221,56.39,58,32252.38,154.23,Programmable uniform website,West Shannon,0,Australia,2016-02-14 10:06:49,1
222,73.49,38,67132.46,244.23,Organic 3rdgeneration encryption,Mosleyburgh,0,Vanuatu,2016-02-14 11:36:08,0
223,77.8,57,43708.88,152.94,Virtual executive implementation,Destinyfurt,0,Namibia,2016-02-14 14:38:01,1
224,64.67,51,24316.61,138.35,Horizontal incremental website,Andersonfurt,1,Togo,2016-02-14 16:33:29,1
225,77.63,29,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,0,Azerbaijan,2016-02-14 17:05:15,0
226,64.88,42,70005.51,129.8,Customizable systematic service-desk,West Chloeborough,1,Equatorial Guinea,2016-02-14 22:23:30,1
227,77.29,27,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,1,Tuvalu,2016-02-15 03:43:55,0
228,73.71,23,56605.12,211.38,Inverse local hub,New Sheila,1,El Salvador,2016-02-15 05:35:54,0
229,66.12,49,39031.89,113.8,Stand-alone motivating moratorium,South Alexisborough,0,Cote d'Ivoire,2016-02-15 07:27:41,1
